donor_id,auroc,auprc,balanced_accuracy,precision,recall,f1,brier,ece,n_lesions,artifact_dir
P16,,,1.0,1.0,1.0,1.0,0.0110556045547127,0.1051456332206726,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/pooled/fold_02/seed_042
P21,,,1.0,1.0,1.0,1.0,0.0110283214598894,0.1050158143043518,2,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/pooled/fold_02/seed_042
P3,,,1.0,1.0,1.0,1.0,0.3139093518257141,0.5602761805057526,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/deep_sets/fold_01/seed_042
P9,,,1.0,1.0,1.0,1.0,0.3137724697589874,0.5601539611816406,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/deep_sets/fold_01/seed_042
P14,,,1.0,1.0,1.0,1.0,0.31389120221138,0.5602599382400513,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/deep_sets/fold_01/seed_042
P19,,,1.0,1.0,1.0,1.0,0.313881903886795,0.5602516531944275,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/deep_sets/fold_01/seed_042
P8,,,1.0,1.0,1.0,1.0,0.0100971926003694,0.1004847884178161,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/deep_sets/fold_00/seed_042
P12,,,1.0,1.0,1.0,1.0,0.0094758858904242,0.097344160079956,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/deep_sets/fold_00/seed_042
P17,,,0.0,0.0,0.0,0.0,0.8178426623344421,0.904346525669098,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/deep_sets/fold_00/seed_042
P23,,,0.0,0.0,0.0,0.0,0.8125513792037964,0.901415765285492,2,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/deep_sets/fold_00/seed_042
P5,,,0.0,0.0,0.0,0.0,0.4623010456562042,0.6799272298812866,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/deep_sets/fold_02/seed_042
P16,,,1.0,1.0,1.0,1.0,0.1047936230897903,0.3237184286117553,1,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/deep_sets/fold_02/seed_042
P21,,,1.0,1.0,1.0,1.0,0.1024553179740905,0.3200864195823669,2,outputs/scratch/eamist_full_20260309_fixed/eamist_benchmark/AIS_MIA/deep_sets/fold_02/seed_042
